KISS,NSamp,grid_size,num_particles,time,steps,mean_ll,ll_of_mean_f,loss
1,10000,64,128,71,1000,0.16470274658203124,0.5498154296875,-22.537668228149414
1,10000,64,128,72,1000,0.17227950439453124,0.5415564453125,-21.038007736206055
1,10000,64,128,70,1000,0.1470884765625,0.54611513671875,-21.830093383789062
1,10000,128,128,72,1000,0.09184100341796875,0.564374462890625,-46.07707977294922
1,10000,128,128,73,1000,0.14196324462890625,0.565665185546875,-47.16340255737305
1,10000,128,128,74,1000,0.1498032958984375,0.57545,-47.35466766357422
1,10000,128,128,72,1000,0.17540582275390626,0.57740146484375,-47.602561950683594
1,10000,128,128,75,1000,0.13563580322265625,0.570221533203125,-48.55276870727539
1,10000,256,128,172,1000,0.1510779541015625,0.57906328125,-90.88961791992188
1,10000,256,128,174,1000,0.1159765380859375,0.580748974609375,-89.91390991210938
1,10000,256,128,174,1000,0.15969525146484376,0.580825,-91.16644287109375
1,10000,256,128,173,1000,0.152497265625,0.583627783203125,-93.11911010742188
1,10000,256,128,174,1000,0.14917025146484375,0.586856689453125,-91.6190185546875
1,10000,512,128,292,1100,0.18606397705078126,0.61514169921875,-146.36773681640625
1,10000,512,128,292,1100,0.121869091796875,0.600151220703125,-143.5672607421875
1,10000,512,128,316,1200,0.15567154541015624,0.60470146484375,-142.66311645507812
1,10000,512,128,292,1100,0.18194466552734376,0.60922041015625,-142.80810546875
1,10000,512,128,319,1200,0.14626241455078126,0.60947158203125,-143.980224609375
1,21544,64,128,126,1000,0.11311555076964584,0.5442462047147698,-21.205078125
1,21544,64,128,135,1000,0.14464980733469876,0.5461780252042332,-21.258325576782227
1,21544,64,128,131,1000,0.07377656241840826,0.5411316212605598,-20.96182632446289
1,21544,64,128,133,1000,0.1733736023334513,0.5400346202829094,-21.12506866455078
1,21544,64,128,121,900,0.06405352944120173,0.5389255165301244,-20.545719146728516
1,21544,128,128,135,1100,0.22237165346935342,0.5716670589114139,-47.868377685546875
1,21544,128,128,124,1000,-0.25840410812610237,0.5675111835081693,-47.810333251953125
1,21544,128,128,117,900,0.07998487243765666,0.558910688590791,-45.509552001953125
1,21544,128,128,124,1000,0.0967683278624559,0.5693893347625789,-48.27451705932617
