KISS,NSamp,grid_size,num_particles,time,steps,mean_ll,ll_of_mean_f,loss
1,2154,256,64,131,1700,0.12825237476061976,0.5693336706418292,-62.4688720703125
1,2154,256,64,127,1700,0.1607187141836409,0.6108468143388753,-70.01094055175781
1,2154,256,64,112,1500,0.227693846409478,0.5591426697060701,-55.32453918457031
1,2154,256,64,112,1500,0.1363444917159935,0.5718227942563254,-57.170005798339844
1,2154,256,64,103,1400,0.09970121817557814,0.5866784225931406,-64.61003112792969
1,4641,64,64,45,1600,0.12731260247488418,0.48000245771385475,-13.033714294433594
1,4641,64,64,41,1500,-0.02882679842895692,0.4624074990573152,-13.476795196533203
1,4641,64,64,39,1400,-0.14096920882235106,0.45801754445768694,-13.571983337402344
1,4641,64,64,42,1500,0.05888432126907253,0.45716528799019607,-12.352712631225586
1,4641,64,64,45,1600,0.09956468032675811,0.48166430785054404,-15.468160629272461
1,4641,128,64,38,1500,0.0349862103420094,0.5228411677170869,-33.15650177001953
1,4641,128,64,29,1100,0.04083056327624199,0.4537797240290347,-20.992446899414062
1,4641,128,64,39,1500,0.09376326308017197,0.5199390453296703,-33.61804962158203
1,4641,128,64,33,1300,0.015364415325550293,0.48392943415346906,-29.19241714477539
1,4641,128,64,44,1700,0.2056024144934416,0.5757996933749462,-36.74217224121094
1,4641,256,64,104,1400,0.16110774613330908,0.5895966108799289,-61.29449462890625
1,4641,256,64,120,1500,0.18788484632134103,0.5989199315543525,-60.15425109863281
1,4641,256,64,129,1600,0.11034231714019742,0.6066687792905624,-71.33355712890625
1,4641,256,64,126,1600,0.0801770227321698,0.558692437311463,-58.967247009277344
1,4641,256,64,144,1800,0.14747230021816418,0.5789836216938699,-69.22732543945312
1,10000,64,64,81,1800,0.15814520263671875,0.478412109375,-15.990653991699219
1,10000,64,64,74,1600,0.12771217041015626,0.477290087890625,-14.916568756103516
1,10000,64,64,70,1500,0.1397602783203125,0.46047392578125,-13.296218872070312
1,10000,64,64,60,1300,0.031118893432617187,0.447533203125,-11.734916687011719
1,10000,64,64,69,1400,0.14332611083984376,0.457692431640625,-13.624916076660156
1,10000,128,64,52,1500,0.10449189453125,0.5265033203125,-33.83147430419922
1,10000,128,64,60,1700,0.18814525146484376,0.5437435546875,-31.864826202392578
1,10000,128,64,36,1000,0.033086837768554686,0.45779365234375,-25.04322052001953
1,10000,128,64,55,1500,0.09570225830078125,0.511978369140625,-33.12977981567383
1,10000,128,64,55,1500,0.1092102294921875,0.519969140625,-31.450950622558594
1,10000,256,64,131,1500,0.12695328369140624,0.571055859375,-60.793785095214844
1,10000,256,64,127,1500,0.115774853515625,0.57443427734375,-63.384552001953125
1,10000,256,64,117,1400,0.11948963623046875,0.55390185546875,-58.82677459716797
1,10000,256,64,138,1600,0.16104451904296874,0.582364453125,-66.388427734375
1,10000,256,64,138,1600,0.19718961181640626,0.573396142578125,-63.21525573730469
1,21544,64,64,121,1500,0.12194223612867852,0.4765406515445135,-13.257072448730469
1,21544,64,64,129,1600,0.10870530177703189,0.45768688497957666,-13.682777404785156
1,21544,64,64,153,1900,0.08676631911908478,0.4827480153261929,-16.39847183227539
1,21544,64,64,115,1500,-0.08683019865413515,0.4535635102870869,-13.557083129882812
1,21544,64,64,103,1400,2.421207678968739e-05,0.44654498859891384,-12.775083541870117
1,21544,128,64,81,1300,0.12527903242709687,0.49208890997783605,-28.45160675048828
1,21544,128,64,110,1800,0.20376996005993547,0.5620772641164593,-35.91726303100586
1,21544,128,64,109,1800,0.16389603018096685,0.5394473410520331,-34.348228454589844
1,21544,128,64,94,1500,0.09056855097960859,0.5198218072607222,-32.27831268310547
1,21544,128,64,126,2000,0.19659494087681026,0.5603825582963934,-37.72576141357422
1,21544,256,64,151,1500,0.045708314574787356,0.5718303783826123,-57.606788635253906
1,21544,256,64,169,1600,0.22330635487258632,0.5828163438776457,-64.72431945800781
1,21544,256,64,163,1500,0.06219526050792854,0.5713876071934181,-64.61551666259766
1,21544,256,64,140,1400,0.1541076161540046,0.5649596284058206,-59.60252380371094
1,21544,256,64,128,1200,-0.0750459032876758,0.54528450496658,-57.582275390625
1,46416,64,64,277,1800,0.1641908084799692,0.4767567773639478,-13.937572479248047
1,46416,64,64,264,1700,0.11146296619834756,0.46835980420275336,-14.509099960327148
1,46416,64,64,216,1400,0.05824403391341348,0.4494602817455188,-12.630733489990234
1,46416,64,64,238,1500,0.05741465219092016,0.4555923267300069,-11.86503791809082
1,46416,64,64,254,1700,0.1595907017347197,0.47764560577171666,-14.391555786132812
